Vname,UpName,Vlong,Source,Uptime,UpID,VID,RelatedVs,newDayviews,Sales,Price,Commission,TotalLikes,TotalComments,Changerate,PLink
千纤草丝瓜保湿卸妆水脸部清洁温和眼唇脸三合一卸妆液卸妆乳油,心灵化妆师CC,59,淘宝,2019-09-01 11:02:53,91584431487,6731532176459894023,4,18,2343,34.90,0.03,21297,160,0.75%,https://s.click.taobao.com/t?e=m%3D2%26s%3DrkmkBrRnJhZw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMZ%2B3gdNeJBPjt4hWD5k2kjNPUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrM4kMxV1gFxiZEuCikgdx34Iwe6%2FtGg2%2FRSyiL934V8t7Ny6VfD8aHxLEoVIzS8fnbYdyU0PFrMcTvacJw2MhnQthHXoWup6v%2F1JztS5T9N8Z040xTe74sItAtu5t0lvo341YlJTA1HMO9KzILw1MW6qJn5AyUbPoV&union_lens=lensId:0b1545dd_0c7b_16ebfa998ae_05ab&xId=iaXe9zXXpX8ufJzdRiJxCuUvCcSKvxPb24rrHYttXcD6RtMs6DHD50WUiJBf1sZdwOD4Xt2VE2Lbh0D0e6K4AM&union_lens=lensId:0bb39b78_0c3e_16ebfa998ae_ab28
洁丽雅 Grace 毛巾 一次性洗脸巾婴儿洁面巾洗脸棉巾美容巾化妆棉洗脸毛巾 20*20cm 90抽*3包,羽子酱,47,京东,2019-06-14 19:22:11,98639381247,6702043891585027335,0,4,999,45.00,1.92,59258,319,0.54%,https://u.jd.com/WeP4K9
天阶庄园 南非路易波士茶博士茶 进口红灌木茶 博士茶 62.5g 袋装,西西果,34,京东,2019-06-25 10:58:34,95379573989,6706031311921990926,0,3,14,159.00,1.49,13620,95,0.70%,https://u.jd.com/HmrYOv
【小钢笔唇釉】小钢笔印迹唇釉口红（哑光唇釉 持久显色）,王大盒的摄像老师,59,唯品会,2019-09-03 17:29:32,619751797425799,6732373986107329803,0,0,93702,129.00,3.87,25087,482,1.92%,https://m.vip.com/public/go.html?pid=2160454086&source=douyin&stat_param=FfxZhxmwZSdyT2X5dh_IfTTNo8-xlAbEfjyJmi1Lkvw_1
卡姿兰自然塑形眉笔 超细笔头 防水防汗持久不晕染初学者（灰色 棕色） 01#浅咖啡,爱分享的关关,19,京东,2019-08-10 12:39:13,68126335875,6722998411391438087,0,0,7,39.00,5.80,651,13,2.00%,https://item.m.jd.com/product/24430691650.html
ZFC 名师微雕塑形砍刀眉笔显色一字眉不易晕染自然眉笔 01红棕色,瑞琪化妆造型,28,京东,2019-08-30 19:44:48,88000631896,6730924503792209159,0,0,42,69.00,17.70,44,3,6.82%,https://u.jd.com/UiMdx6
韩国爱丽小屋双头旋转自动眉笔 七色可选 防汗防水不晕染,美芽,46,抖音小店,2018-07-08 19:12:04,66309909229,6575802349070060813,0,0,74,25.00,6.13,3767,97,2.57%,https://haohuo.jinritemai.com/views/product/item2?id=3278407341942401724&origin_type=2002001000&origin_id=6575802349070060813_3279310377497932312&alkey=1128_99514375927_6575802349070060813_3279310377497932312_011
完美日记 倾色慕光唇膏小黑钻 口红不显唇纹持久显色滋润朱正廷同款 208 佳人绝色（樱桃色）热卖,是一只九龄,9,京东,2019-07-17 11:14:27,63159042369,6714211906690895108,0,-1,6979,69.90,3.00,10379,406,3.91%,https://item.m.jd.com/product/31860084032.html
瑜然美大瓶氨基酸洗面奶女男卸妆泡沫控油温和深层清洁毛孔洁面乳,又有好物推荐啊,7,淘宝,2019-08-01 13:02:31,86305517088,6720042151515933964,8,-3,4667,39.90,14.37,1949,112,5.75%,https://s.click.taobao.com/t?e=m%3D2%26s%3D6LcYt05lpINw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMUWkW1AO4hDDJ1gyddu7kN9PUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrMiJkjrlY8V2MXWDGeVF6qBAtkyqhBb5%2B4x8PUddoNe3CezgG9NfqeywojujuscY6D4JOed0Rxa6O22OajL%2FOxeygvKUxAbmFVm%2FAqrVg3iolmYKmPQjlXgib4FRL6yn47QLQtqj2NQCM7Qq3IsVviSLpPcC%2BjxcBwIYULNg46oBA%3D&union_lens=lensId:0b57bdf0_0c47_16ebf90877f_7e23&xId=eq6tq4oc8pAHESBOFXC7D2MSN4XgyX5vmAiqebOSF1XT2AFZlEQuh75BKkJewieO5Zb77vV2m4EaZr0TwKM9j0&union_lens=lensId:0b1b469b_0d11_16ebf908781_3cee
BLD贝览得唇刷伸缩女便携式口红刷彩妆化妆刷颜九推荐口红刷,二喵果酱,49,淘宝,2019-07-08 15:10:01,64511499102,6710898969108565252,5,-14,2205,29.00,1.17,4987,103,2.07%,https://s.click.taobao.com/t?e=m%3D2%26s%3Dtmyl%2BuAEKLtw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMbU3PwrUwN5GJ1gyddu7kN9PUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrMbNyCYoYCgsfCD%2B6XOtnLvAtkyqhBb5%2B4x8PUddoNe3CezgG9NfqeywojujuscY6D4JOed0Rxa6PV31NI0JUrywnrOIjenMUgm%2FAqrVg3iolmYKmPQjlXgib4FRL6yn47QLQtqj2NQCM7Qq3IsVviSLpPcC%2BjxcBwIYULNg46oBA%3D&union_lens=lensId:0b17774d_0bdd_16ebf8ae201_2b65&xId=JhIt0awKYbH5rJszmqqBkARpytjuyH4W1plzzyqYFGdgWtzEMcHEizgdUTFWgX5SmLvezAA683vHUo9hOaj0X2&union_lens=lensId:0bb39b78_0c3e_16ebf8ae1ff_282a
